;Chlorostilbon lucidus;Eupetomena macroura;Heliomaster squamosus;Chrysolampis mosquitus;Calliphlox amethystina
Allamanda blanchetii;6;0;1;0;0
Anadenanthera colubrina;1;0;0;0;0
Bauhinia cheilantha;92;14;6;2;0
Cenostigma pyramidale;1;0;0;0;0
Ceiba glaziovii;1;0;2;0;0
Clematicissus pruinata;203;0;0;0;0
Cissus verticillata;5;0;0;0;0
Cnidoscolus halteris;6269;1242;416;46;66
Cnidoscolus pubescens;210;0;0;0;0
Conocliniopsis grossedentata;3;0;0;0;0
Croton blanchetianus;0;0;1;0;0
Macropsychanthus grandiflorus;1;0;1;0;0
Encholirium spectabile;53;16;11;0;0
Handroanthus impetiginosus;208;32;97;18;0
Hohenbergia catingae;218;0;0;0;0
Mesosphaerum pectinatum;2;0;0;0;0
Ipomoea sp.3;18;0;4;0;0
Jatropha mollissima;80;1;0;2;0
Melocactus zehntneri;871;14;0;0;0
Melochia tomentosa;581;2;1;4;0
Oxalis psoraleoides;937;0;0;0;0
Xiquexique gounellei;1;0;0;0;0
Pilosocereus sp.1;0;4;0;0;0
Chresta pacourinoides;5;0;0;0;0
Plumbago zeylanica;95;1;0;0;0
Psidium sp.1;1;0;0;0;0
Ruellia asperula;18;0;0;0;0
Staelia galioides;1;0;0;0;0
Tacinga inamoena;19;2;0;0;0
Tacinga palmadora;1524;3;48;1;1
Waltheria rotundifolia;1;0;0;0;0
