;Ocreatus underwoodii;Phlogophilus hemileucurus;Thalurania furcata;Doryfera ludovicae;Phaethornis guy;Heliodoxa leadbeateri;Eutoxeres aquila
Warszewiczia coccinea;1;0;1;0;0;0;0
Besleria amabilis;0;5;0;0;0;0;0
Centropogon solanifolius;0;0;0;0;0;0;9
Palicourea guianensis;4;11;1;26;5;1;0
Psammisia sp. 1;0;0;0;17;2;0;0
Palicourea tomentosa;0;47;0;0;2;0;0
Goeppertia standleyi;0;2;0;0;0;0;0
Besleria aggregata;0;20;0;0;0;0;0
Macrocarpaea sp. 1;1;3;1;0;0;0;0
Heliconia orthotricha;0;0;0;0;0;0;1
Bomarea pardina;0;0;20;0;38;11;0
Drymonia sp.1;0;0;0;3;5;0;0
Cavendishia bracteata;2;0;17;30;0;0;0
Palicourea angustifolia;0;11;4;0;0;0;0
Hippotis brevipes;5;0;12;1;6;0;0
