"","family","species","network","corolla","nectar","color","colorCode","introduced","speciesOld"
"1","Polygonaceae","Antigonon leptopus","3",3.11,18.11,"Pink","2","3","Antigonon leptopus"
"2","Bromeliaceae","Tillandsia dasyliriifolia","8",NA,NA,"Red","3","8","Tillandsia dasyliriifolia"
"3","Bignoniaceae","Bignonia binata","8",27.7,NA,"Pink","2","8","Bignonia binata"
"4","Rubiaceae","Morinda citrifolia","17",9.29,33.8,"White","1","17","Morinda citrifolia"
"5","Fabaceae","Tephrosia noctiflora","17",5.38,50.2,"White/Purple","1","17","Tephrosia noctiflora"
"7","Fabaceae","Erythrina corallodendron","20",NA,NA,"Red","3","20","Erythrina corallodendron"
"8","Fabaceae","Inga fastuosa","20",38,NA,"White","1","20","Inga venosa"
"9","Fabaceae","Erythrina poeppigiana","20, 84",NA,NA,"Red, Orange","3, 3","20","Erythrina poeppigiana"
"11","Orobanchaceae","Castilleja scorzonerifolia","12, 26",12.5,20.25,"Red/Green, Orange","2, 3","26","Castilleja scorzonerifolia"
"12","Fabaceae","Phaseolus coccineus","27",NA,35.7,"Red/White","2","27","Phaseolus coccineus"
"13","Fabaceae","Erythrina speciosa","28, 62, 65, 66, 69, 70, 74, 91, 92",30.33,25.68,"Red, Red, Red, Red, Red, Red, Red, Red, Red","3, 3, 3, 3, 3, 3, 3, 3, 3","28","Erythrina speciosa"
"14","Bignoniaceae","Spathodea campanulata","28",42.9,10.1,"Orange","3","28","Spathodea campanulata"
"15","Myrtaceae","Eucalyptus globulus","30",13.2,14.6,"White","1","30","Eucalyptus globulus"
"16","Rubiaceae","Psychotria bahiensis","34",10.9,27.1,"White","1","34","Psychotria bahiensis"
"21","Myrtaceae","Syzygium malaccense","39",20,10.2,"Pink","2","39","Syzygium malaccense"
"23","Iridaceae","Crocosmia crocosmiiflora","62",NA,NA,"Orange/Yellow","2","62","Crocosmia crocosmiiflora"
"24","Marcgraviaceae","Marcgravia myriostigma","65",NA,NA,"Green","1","65","Marcgravia myriostigma"
"25","Malvaceae","Dombeya wallichii","65",NA,21.6,"Pink","2","65","Dombeya wallichii"
"26","Asphodelaceae","Phormium tenax","67",29,14,"Orange","3","67","Phormium tenax"
"27","Musaceae","Musa balbisiana","70",38.44,NA,"Yellow","1","70","Musa balbisiana"
"28","Bignoniaceae","Jacaranda mimosifolia","74",10.7,NA,"Light Purple","1","74","Jacaranda mimosifolia"
"29","Bignoniaceae","Campsis grandiflora","74",28.8,NA,"Orange","3","74","Campsis grandiflora"
"30","Myrtaceae","Melaleuca glauca","74",2.5,NA,"Red","3","74","Callistemon speciosus"
"31","Myrtaceae","Melaleuca leucadendra","74",2.4,NA,"White","1","74","Melaleuca leucadendra"
"32","Solanaceae","Streptosolen jamesonii","83",26.3,NA,"Yellow/Orange","2","83","Streptosolen jamesonii"
"33","Fabaceae","Tamarindus Indica","93",9.79,45.99,"Yellow with marked red striper on two petals","1","93","Tamarindus Indica"
"34","Fabaceae","Pithecellobium dulce","94",NA,44.38,"Cream white with some weak yellow","1","94","Pithecellobium dulce"
"35","Heliconiaceae","Heliconia rostrata","96",41.7,26,"Red/Yellow","2","96","Heliconia rostrata"
"36","Lamiaceae","Coleus scutellarioides","96",4.8,28,"Purple/Pink","1","96","Coleus scutellarioides"
"37","Zingiberaceae","Etlingera elatior","96",37.45,31.25,"Red","3","96","Etlingera elatior"
"38","Acanthaceae","Asystasia gangetica","97",19.55,NA,"White","1","97","Asystasia gangetica"
"39","Apocynaceae","Allamanda cathartica","97",32.85,NA,"Yellow","1","97","Allamanda cathartica"
"40","Lauraceae","Persea americana","99",2.4,NA,"Greeb","1","99","Persea americana"
"42","Asphodelaceae","Aloe vera","103",27.4,19,"Yellow","1","103","Aloe vera"
"43","Anacardiaceae","Anacardium occidentale","104",3.51,NA,"White","1","104","Anacardium occidentale"
"44","Plantaginaceae","Russelia equisetiformis","105",19.26,50,"Peach","1","105","Russelia equisetiformis"
"45","Balsaminaceae","Impatiens walleriana","14, 63, 66",22.31,24.65,"Pink, Red, Red","2, 3, 3","14, 63, 66","Impatiens walleriana"
"46","Lamiaceae","Leonotis nepetifolia","17, 80",13.36,17.7,"Salmon, Orange","2, 3","17, 80","Leonotis nepetifolia"
"47","Myrtaceae","Syzygium jambos","19, 20, 26, 65",1.35,9.75,"White, White, Cream, White","1, 1, 1, 1","19, 20, 26, 65","Syzygium jambos"
"48","Musaceae","Musa velutina","28, 30",32.1,15.1,"Green/Yellow, Green/Yellow","1, 1","28, 30","Musa velutina"
"50","Fabaceae","Samanea saman","3, 20",9.95,22.71,"Pink (mainly) and white, Pink","2, 2","3, 20","Albizia saman"
"51","Malvaceae","Hibiscus rosa-sinensis","35, 65",54.75,12.7,"Pink","1","35, 65","Hibiscus rosa-sinensis"
