"","species","genus","family","species.relative","genus.relative","status"
"1","Antigonon_leptopus","Antigonon","Polygonaceae","","","prune"
"2","Tillandsia_dasyliriifolia","Tillandsia","Bromeliaceae","","","prune"
"3","Bignonia_binata","Bignonia","Bignoniaceae","","","prune"
"4","Morinda_citrifolia","Morinda","Rubiaceae","","","prune"
"5","Tephrosia_noctiflora","Tephrosia","Fabaceae","","","bind"
"6","Erythrina_corallodendron","Erythrina","Fabaceae","","","bind"
"7","Inga_fastuosa","Inga","Fabaceae","","","bind"
"8","Erythrina_poeppigiana","Erythrina","Fabaceae","","","bind"
"9","Castilleja_scorzonerifolia","Castilleja","Orobanchaceae","","","prune"
"10","Phaseolus_coccineus","Phaseolus","Fabaceae","","","prune"
"11","Erythrina_speciosa","Erythrina","Fabaceae","","","prune"
"12","Spathodea_campanulata","Spathodea","Bignoniaceae","","","bind"
"13","Eucalyptus_globulus","Eucalyptus","Myrtaceae","","","prune"
"14","Psychotria_bahiensis","Psychotria","Rubiaceae","","","bind"
"15","Syzygium_malaccense","Syzygium","Myrtaceae","","","prune"
"16","Crocosmia_crocosmiiflora","Crocosmia","Iridaceae","","","bind"
"17","Marcgravia_myriostigma","Marcgravia","Marcgraviaceae","","","bind"
"18","Dombeya_wallichii","Dombeya","Malvaceae","","","bind"
"19","Phormium_tenax","Phormium","Asphodelaceae","","","prune"
"20","Musa_balbisiana","Musa","Musaceae","","","bind"
"21","Jacaranda_mimosifolia","Jacaranda","Bignoniaceae","","","prune"
"22","Campsis_grandiflora","Campsis","Bignoniaceae","","","prune"
"23","Melaleuca_glauca","Melaleuca","Myrtaceae","","","bind"
"24","Melaleuca_leucadendra","Melaleuca","Myrtaceae","","","prune"
"25","Streptosolen_jamesonii","Streptosolen","Solanaceae","","","prune"
"26","Tamarindus_Indica","Tamarindus","Fabaceae","","","bind"
"27","Pithecellobium_dulce","Pithecellobium","Fabaceae","","","prune"
"28","Heliconia_rostrata","Heliconia","Heliconiaceae","","","prune"
"29","Coleus_scutellarioides","Coleus","Lamiaceae","","","bind"
"30","Etlingera_elatior","Etlingera","Zingiberaceae","","","prune"
"31","Asystasia_gangetica","Asystasia","Acanthaceae","","","prune"
"32","Allamanda_cathartica","Allamanda","Apocynaceae","","","prune"
"33","Persea_americana","Persea","Lauraceae","","","prune"
"34","Aloe_vera","Aloe","Asphodelaceae","","","prune"
"35","Anacardium_occidentale","Anacardium","Anacardiaceae","","","prune"
"36","Russelia_equisetiformis","Russelia","Plantaginaceae","","","prune"
"37","Impatiens_walleriana","Impatiens","Balsaminaceae","","","prune"
"38","Leonotis_nepetifolia","Leonotis","Lamiaceae","","","bind"
"39","Syzygium_jambos","Syzygium","Myrtaceae","","","prune"
"40","Musa_velutina","Musa","Musaceae","","","bind"
"41","Samanea_saman","Samanea","Fabaceae","","","bind"
"42","Hibiscus_rosa-sinensis","Hibiscus","Malvaceae","","","prune"
"43","Lantana_camara","Lantana","Verbenaceae","","","prune"
"44","Nicotiana_glauca","Nicotiana","Solanaceae","","","prune"
"45","Hedychium_coronarium","Hedychium","Zingiberaceae","","","prune"
"46","Musa_ornata","Musa","Musaceae","","","bind"
"47","Rubus_rosifolius","Rubus","Rosaceae","","","prune"
"48","Amasonia_campestris","Amasonia","Lamiaceae","","","bind"
"49","Psittacanthus_lasianthus","Psittacanthus","Loranthaceae","","","bind"
"50","Hippeastrum_aviflorum","Hippeastrum","Amaryllidaceae","","","bind"
"51","Dunalia_brachyacantha","Dunalia","Solanaceae","","","prune"
"52","Amphilophium_elongatum","Amphilophium","Bignoniaceae","","","bind"
"53","Varronia_bullata","Varronia","Boraginaceae","","","prune"
"54","Pachystachys_coccinea","Pachystachys","Acanthaceae","","","prune"
"55","Dicliptera_squarrosa","Dicliptera","Acanthaceae","","","bind"
"56","Inga_vera","Inga","Fabaceae","","","prune"
"57","Delphinium_barbeyi","Delphinium","Ranunculaceae","","","prune"
"58","Aquilegia_formosa","Aquilegia","Ranunculaceae","","","prune"
"59","Penstemon_labrosus","Penstemon","Plantaginaceae","","","prune"
"60","Guazuma_ulmifolia","Guazuma","Malvaceae","","","prune"
"61","Lysiloma_latisiliquum","Lysiloma","Fabaceae","","","bind"
"62","Tabernaemontana_alba","Tabernaemontana","Apocynaceae","","","prune"
"63","Volkameria_aculeata","Volkameria","Lamiaceae","","","prune"
"64","Cirsium_ehrenbergii","Cirsium","Asteraceae","","","prune"
"65","Cuphea_aequipetala","Cuphea","Lythraceae","","","bind"
"66","Cuphea_procumbens","Cuphea","Lythraceae","","","bind"
"67","Lamourouxia_dasyantha","Lamourouxia","Orobanchaceae","","","bind"
"68","Salvia_chamaedryoides","Salvia","Lamiaceae","","","prune"
"69","Salvia_prunelloides","Salvia","Lamiaceae","","","prune"
"70","Salvia_xalapensis","Salvia","Lamiaceae","","","bind"
"71","Scutellaria_caerulea","Scutellaria","Lamiaceae","","","bind"
"72","Stachys_coccinea","Stachys","Lamiaceae","","","bind"
"73","Ceiba_aesculifolia","Ceiba","Malvaceae","","","prune"
"74","Combretum_farinosum","Combretum","Combretaceae","","","prune"
"75","Cordia_seleriana","Cordia","Boraginaceae","","","bind"
"76","Erythrina_lanata","Erythrina","Fabaceae","","","bind"
"77","Hamelia_rostrata","Hamelia","Rubiaceae","","","bind"
"78","Ipomoea_bracteata","Ipomoea","Convolvulaceae","","","bind"
"79","Opuntia_excelsa","Opuntia","Cactaceae","","","prune"
"80","Opuntia_karwinskiana","Opuntia","Cactaceae","","","bind"
"81","Tillandsia_bartramii","Tillandsia","Bromeliaceae","","","bind"
"82","Tillandsia_paucifolia","Tillandsia","Bromeliaceae","","","prune"
"83","Lobelia_cardinalis","Lobelia","Campanulaceae","","","prune"
"84","Psittacanthus_schiedeanus","Psittacanthus","Loranthaceae","","","prune"
"85","Tillandsia_multicaulis","Tillandsia","Bromeliaceae","","","prune"
"86","Cirsium_nivale","Cirsium","Asteraceae","","","bind"
"87","Echeveria_gibbiflora","Echeveria","Crassulaceae","","","prune"
